lookback,n_trades,profit_factor,sharpe,sortino,avg_trade_pct,runs_z,n_filtered,pf_filtered,t_filtered,filtered_best_trade_pct
12,1195,0.7411372088046114,-2.163192907593612,-2.9998867718969606,-0.0020725049317319544,2.249733781609034,852,0.8350081628221554,-1.773484622114164,-0.17177867577604208
14,1033,0.7537131130878147,-1.8978278553570582,-2.6399300973307542,-0.002092442535192227,3.3972435508396774,724,0.8847908078630665,-1.1058116099741702,-0.2717008339282449
16,905,0.7655855400283272,-1.6509023777804699,-2.279915500204542,-0.0020680980521634615,2.22273479591531,635,0.8686162709966602,-1.1744625620649807,-0.302082169167176
18,820,0.7359226431339869,-1.8025562337720615,-2.476117595099063,-0.0024904212344784562,2.864002988530251,567,0.873219047034228,-1.0688771182456986,-0.32967190050982265
20,732,0.7585732491918851,-1.5437983349477762,-2.1234085659963102,-0.0023849305189605754,1.2867557815888442,499,0.835983432701303,-1.338670647691962,-0.2664769853991567
22,682,0.7376365173689915,-1.6532688545594152,-2.2680667342345786,-0.0027616420373154094,0.04052279935120195,475,0.7420087160207516,-2.1835245807913988,-0.16062250215871204
24,609,0.8130329382915871,-1.07276320490313,-1.4768502934894039,-0.001970966363745936,-0.155494927596797,428,0.8489659962818085,-1.0808414507329316,-0.3997356637546105
26,547,0.8047530727069766,-1.0689063181066953,-1.4629331178543061,-0.002201211564572436,-0.32878900637872344,380,0.842723556885985,-1.0813430768480192,-0.386532584497966
28,503,0.8419710757563443,-0.8165381447316,-1.1050251193979628,-0.0018199483004774958,-0.2071197513451096,345,0.8258731636929469,-1.2383672160012196,-0.3101717720766671
30,453,0.8676559114430943,-0.6387776604659828,-0.8694789688861975,-0.00159428261631883,-0.7076352000616667,302,0.8060924075831927,-1.3185940990046334,-0.29971319127138135
32,433,0.8571798067676643,-0.671781670751565,-0.9145376404288672,-0.0017506688537951012,-1.1761688402006578,287,0.780691873452621,-1.46774125168654,-0.27510142717914315
34,413,0.846390040280099,-0.7124971067786475,-0.9703564169551739,-0.0019461456090407235,-0.9406374683273507,276,0.798669187401047,-1.3120872391899638,-0.2976860530656895
36,385,0.9095814027120787,-0.41013953468630654,-0.5599515296478381,-0.001147780111808131,-0.5621944733668012,256,0.8787256828001975,-0.7275450058637319,-0.5369885279219603
38,373,0.8618026593727554,-0.6177531220479171,-0.8407978317469573,-0.001818818909606419,-0.10317897633049299,249,0.8995228988544071,-0.5889783643672348,-0.6501228603891632
40,361,0.856220627759964,-0.6468444907326172,-0.8816580412438906,-0.0019468695991420551,-0.10288828034187784,242,0.8476590691245095,-0.9179606878208195,-0.4161927204576641
42,349,0.844680295107666,-0.691024125354848,-0.93904271206985,-0.0021886631166076766,-0.025732995370641425,233,0.7921658292396409,-1.2815534702715292,-0.3023445508368238
44,331,0.8722155107684746,-0.5466447893252349,-0.7463596641883703,-0.0018004987017396154,0.05523567896272181,219,0.8797498064368583,-0.673113983056971,-0.5591566569080951
46,319,0.8684431451914795,-0.5593353579473432,-0.7635531937547267,-0.0019064109137062895,0.8148180946313217,212,0.8704228053741052,-0.7266915700973916,-0.49737020559808887
48,305,0.8556230564442167,-0.5949226145461208,-0.8108637348548112,-0.002137759085479637,1.05984737814036,202,0.8924636218156654,-0.5829108604751949,-0.6240245165354439
50,279,0.9418459529856713,-0.2230750941274755,-0.3060298316872146,-0.0008505420082699762,1.6062657059906733,179,0.9667845727118354,-0.16969008835282717,-1.9165810995148114
52,265,0.9698516020650687,-0.10145144979232314,-0.13864795144527584,-0.00043905421600104737,0.6844277873472056,170,0.9708279578685535,-0.14371812715185478,-2.2446451756093877
54,255,0.9882240096348163,-0.07301013801234893,-0.09955577455520165,-0.00017513677637706582,0.1554722143219498,166,0.9296019231614366,-0.3477474595113732,-0.8943798959989505
56,243,1.0155083977329697,0.028659106418554816,0.0391847859004513,0.00023322457459185134,0.12268128753700012,156,0.9317002294704086,-0.3163102075127521,-1.1096477374303912
58,241,0.9546541337554582,-0.1704137742325557,-0.23238347559961767,-0.0007092185325106575,0.36347170962833064,156,0.899879004822654,-0.4750295698370252,-0.7338489090301478
60,237,0.9244555753236794,-0.2726168779674616,-0.37032586090362796,-0.0012235116276062754,0.6824656650932388,154,0.8710866416446763,-0.6161591581368935,-0.5542636687964136
62,235,0.8694585200090522,-0.4697068784599145,-0.6349367611084045,-0.0021952618550517577,0.7495678972314327,155,0.828510173579118,-0.8521427967704066,-0.39766991773827437
64,229,0.8716135833673403,-0.44869109189753725,-0.6104440813104332,-0.0021300411947450817,0.5795043419063779,154,0.8060715981638372,-0.975642327812166,-0.3604514384698064
66,227,0.836227633157846,-0.5726716054949489,-0.7795102241162976,-0.0027751022109505216,0.037366027368758215,152,0.7449882066663593,-1.3215146508291757,-0.2723141563914626
68,223,0.805813276566122,-0.6825379684773457,-0.9274817203707825,-0.0033892630584054103,1.1157985057140025,151,0.9090935539846952,-0.3663656399524581,-1.6741195634401425
70,213,0.8518397177604757,-0.4904320013484949,-0.6683862650492257,-0.0025302300516559036,1.6393316042546784,140,1.0225574568434208,0.08263959557546935,7.3245681096636925
72,202,0.9031483681776951,-0.3043499521571403,-0.4149191281425526,-0.0016481848941949874,0.8593456830337174,131,1.067448238523335,0.23429498896100567,2.614743670849284
74,196,0.8856542008675266,-0.3519120668831275,-0.47865460807080623,-0.002006884969203659,0.5624886100801106,126,0.9813778326754966,-0.06570237963511026,-9.462676712013003
76,186,0.8904133783050183,-0.3248638796522427,-0.44129682088657657,-0.001986116211384389,0.16998857409397763,121,1.006955272013752,0.02390168282757561,25.515948106150333
78,178,0.9200690458725235,-0.22603386456450245,-0.3086097616159945,-0.0014423325570397558,0.4122463763460766,117,1.05569007401108,0.1826700237250486,3.335441443793258
80,178,0.8727548856825518,-0.3752101241680684,-0.5103226404097568,-0.0023957683197204796,0.08736938132535786,120,0.9640343600722638,-0.12626821092566393,-4.768520747644228
82,172,0.8979979861613113,-0.29278567083168067,-0.3986051154937567,-0.0019262759888720616,0.4296174304425298,115,1.0254619293669474,0.0844042296798586,7.1871223764191585
84,166,0.9104655996010466,-0.2515209485772561,-0.3418497841853998,-0.0017192047972984785,0.2010289991451961,111,1.0045619390185023,0.015296802860400012,39.12259318303236
86,158,0.9151031898614563,-0.23016046404722112,-0.31147161083280034,-0.001665964405360698,0.041214294906601334,105,0.8827291228856441,-0.41476358819215114,-1.5191168320696977
88,146,0.9761099337714032,-0.05985372306290231,-0.0809827980409192,-0.00046789711152082854,0.913414865768655,93,1.0353977025501446,0.10905919445098419,5.883102442720184
90,140,1.0540549215772024,0.12052505095018337,0.16335719007456934,0.0010064345990412448,0.8412281726680376,87,1.1902390786520558,0.5205664576861904,1.2707237626145622
92,140,0.9921865421442007,-0.020752968526993334,-0.028060480076921406,-0.00015273150918731335,0.9449946141689691,88,1.2401087195520966,0.6468876561727519,0.9465487712801538
94,138,0.9495459248310321,-0.12865958682122483,-0.1734276543552896,-0.0010178210692286624,1.0448809342217433,86,1.2103380604366238,0.5686193724127402,1.0706741753394586
96,132,0.9848868831656035,-0.05289101188024117,-0.07087873117763045,-0.0003054082794880037,0.5495412026982203,83,1.1814476251370896,0.4814669526617416,1.2639024154759975
