lookback,n_trades,profit_factor,sharpe,sortino,avg_trade_pct,runs_z,n_filtered,pf_filtered,t_filtered,filtered_best_trade_pct
12,1195,0.7411372088046114,-2.163192907593612,-2.9998867718969606,-0.0020725049317319544,2.249733781609034,852,0.8350081628221554,-1.773484622114164,-0.17177867577604208
16,905,0.7655855400283272,-1.6509023777804699,-2.279915500204542,-0.0020680980521634615,2.22273479591531,635,0.8686162709966602,-1.1744625620649807,-0.302082169167176
20,732,0.7585732491918851,-1.5437983349477762,-2.1234085659963102,-0.0023849305189605754,1.2867557815888442,499,0.835983432701303,-1.338670647691962,-0.2664769853991567
24,609,0.8130329382915871,-1.07276320490313,-1.4768502934894039,-0.001970966363745936,-0.155494927596797,428,0.8489659962818085,-1.0808414507329316,-0.3997356637546105
28,503,0.8419710757563443,-0.8165381447316,-1.1050251193979628,-0.0018199483004774958,-0.2071197513451096,345,0.8258731636929469,-1.2383672160012196,-0.3101717720766671
32,433,0.8571798067676643,-0.671781670751565,-0.9145376404288672,-0.0017506688537951012,-1.1761688402006578,287,0.780691873452621,-1.46774125168654,-0.27510142717914315
36,385,0.9095814027120787,-0.41013953468630654,-0.5599515296478381,-0.001147780111808131,-0.5621944733668012,256,0.8787256828001975,-0.7275450058637319,-0.5369885279219603
40,361,0.856220627759964,-0.6468444907326172,-0.8816580412438906,-0.0019468695991420551,-0.10288828034187784,242,0.8476590691245095,-0.9179606878208195,-0.4161927204576641
44,331,0.8722155107684746,-0.5466447893252349,-0.7463596641883703,-0.0018004987017396154,0.05523567896272181,219,0.8797498064368583,-0.673113983056971,-0.5591566569080951
48,305,0.8556230564442167,-0.5949226145461208,-0.8108637348548112,-0.002137759085479637,1.05984737814036,202,0.8924636218156654,-0.5829108604751949,-0.6240245165354439
52,265,0.9698516020650687,-0.10145144979232314,-0.13864795144527584,-0.00043905421600104737,0.6844277873472056,170,0.9708279578685535,-0.14371812715185478,-2.2446451756093877
56,243,1.0155083977329697,0.028659106418554816,0.0391847859004513,0.00023322457459185134,0.12268128753700012,156,0.9317002294704086,-0.3163102075127521,-1.1096477374303912
60,237,0.9244555753236794,-0.2726168779674616,-0.37032586090362796,-0.0012235116276062754,0.6824656650932388,154,0.8710866416446763,-0.6161591581368935,-0.5542636687964136
64,229,0.8716135833673403,-0.44869109189753725,-0.6104440813104332,-0.0021300411947450817,0.5795043419063779,154,0.8060715981638372,-0.975642327812166,-0.3604514384698064
68,223,0.805813276566122,-0.6825379684773457,-0.9274817203707825,-0.0033892630584054103,1.1157985057140025,151,0.9090935539846952,-0.3663656399524581,-1.6741195634401425
72,202,0.9031483681776951,-0.3043499521571403,-0.4149191281425526,-0.0016481848941949874,0.8593456830337174,131,1.067448238523335,0.23429498896100567,2.614743670849284
76,186,0.8904133783050183,-0.3248638796522427,-0.44129682088657657,-0.001986116211384389,0.16998857409397763,121,1.006955272013752,0.02390168282757561,25.515948106150333
80,178,0.8727548856825518,-0.3752101241680684,-0.5103226404097568,-0.0023957683197204796,0.08736938132535786,120,0.9640343600722638,-0.12626821092566393,-4.768520747644228
84,166,0.9104655996010466,-0.2515209485772561,-0.3418497841853998,-0.0017192047972984785,0.2010289991451961,111,1.0045619390185023,0.015296802860400012,39.12259318303236
88,146,0.9761099337714032,-0.05985372306290231,-0.0809827980409192,-0.00046789711152082854,0.913414865768655,93,1.0353977025501446,0.10905919445098419,5.883102442720184
92,140,0.9921865421442007,-0.020752968526993334,-0.028060480076921406,-0.00015273150918731335,0.9449946141689691,88,1.2401087195520966,0.6468876561727519,0.9465487712801538
96,132,0.9848868831656035,-0.05289101188024117,-0.07087873117763045,-0.0003054082794880037,0.5495412026982203,83,1.1814476251370896,0.4814669526617416,1.2639024154759975
100,128,0.9106476683460151,-0.23076486082247843,-0.3071905823615662,-0.001893173211037603,0.7091209009846519,82,1.1694667364572586,0.4531028184713118,1.3116957999416246
104,128,0.8387592101154383,-0.4187472913280846,-0.555274608369558,-0.003574369892462969,0.8366269751444841,83,1.042899015415118,0.12464009146275387,4.755742342479345
108,128,0.7613279819817537,-0.6401795444361846,-0.8473064703283786,-0.0056345030752418,0.8366269751444841,83,0.9438183628523538,-0.1787740254864759,-3.023103102181099
112,123,0.8160233190395116,-0.461341681285018,-0.6122250522926745,-0.004172164222231583,1.0804542292185004,78,1.0769191550457686,0.21928017151791868,2.4667115955189476
116,113,0.8897343019650445,-0.249416209084923,-0.33137037451402185,-0.002571834209012686,0.19257918412515365,73,0.9864576760084811,-0.04046244657481354,-13.667207646469434
120,109,0.8854569428014132,-0.25815229822890645,-0.3423307834339124,-0.0027270928588084145,0.5292247617509251,70,1.125519861623243,0.3399859413363073,1.5343403960971393
124,105,0.9028445385737632,-0.20500045756755744,-0.2710439290834328,-0.0022958889656540388,0.44648982463243203,67,1.1636959439542336,0.42727416350301173,1.2101680627538798
128,101,0.9151799165732758,-0.17933108145198592,-0.23674337758212294,-0.00203321612374701,0.36291175320617997,64,1.1170181317688817,0.30762498702145363,1.6769234120596057
132,97,0.9222890487292302,-0.16442930942874184,-0.21693983829959235,-0.0019293440490845766,0.27855699359643216,61,1.1259262285555283,0.32449323048134643,1.551059929628324
136,95,0.912099294075462,-0.18017876959075654,-0.23837061701829415,-0.002195183832932966,0.39694617576928776,59,1.1713240608652644,0.4216497156388666,1.1776673842456749
140,93,0.9162054265643201,-0.16803553486966366,-0.22261673514059632,-0.002110413116005357,0.004973355801689387,60,1.0336490401902056,0.09137880100445578,5.2509752373641945
144,91,0.9247198015341556,-0.1728009688511692,-0.2283474668209633,-0.0019615801082477832,-0.052497356332510806,60,1.0160332286984408,0.04179830728573454,10.864956180885544
148,85,1.0902359331757625,0.15339383880121682,0.20585248262160855,0.0021634226633101303,-0.1969655279478455,54,1.2303159723977546,0.5133734372595391,0.914047869211966
152,81,1.2041132962327625,0.3252495853538088,0.4375115441264966,0.004650369690952529,0.4093177948434714,49,1.5051033087218997,0.9491874224871609,0.509763211549331
156,79,1.2591808264383635,0.3897018909674673,0.5257220134943388,0.005748273207338999,0.45226427909163425,46,1.6581053539875061,1.1294383226637519,0.43573972544662115
160,79,1.1696871523564174,0.2658831585054487,0.3585551344509307,0.003951762633465759,0.45226427909163425,46,1.555921749652417,0.9984585741440243,0.48212389609108386
164,79,1.1242469755003235,0.19899043170308905,0.26828142995616727,0.0029937207981492963,0.0782041748916327,47,1.4371837591070176,0.8409691025578755,0.5671434396989611
168,75,1.2487952328539393,0.3826007389932989,0.5164896643142176,0.005770197248743107,0.0,44,1.6092103907107675,1.0611387652398327,0.445508400193853
172,69,1.4557270367309019,0.5771253925858675,0.7795925766387548,0.009719755843480305,0.09382013734393184,39,1.9925026137801791,1.382858553037315,0.35309466071596896
176,67,1.4141069565434112,0.5248881474986458,0.7088448066302365,0.009001930852185128,0.2770101173926521,37,2.0690275805897405,1.4220611103815777,0.3568919680699459
180,65,1.3964955676274278,0.5021436674696503,0.6768379380235162,0.008907540900205001,0.5413778856428374,36,2.1120028538838445,1.4398770550744489,0.35183633930130026
184,65,1.3728872635028764,0.4753764433392767,0.6406082137165262,0.008458186915752355,1.1410242197102127,37,2.1368346745488704,1.4865514411145637,0.3404528190103391
188,61,1.5508417370497647,0.6518260240958483,0.8789538152872259,0.01254197012748699,0.5714535601055896,34,2.1063842885793793,1.393725810777447,0.4133492120393096
192,61,1.463804750992127,0.568873247753743,0.768005181065931,0.011013108470151531,0.5714535601055896,34,1.980175116153358,1.289506657265848,0.4462943806724613
196,59,1.4901134775045048,0.5778991392721124,0.7790515351650238,0.01150481493087378,0.9599114752129942,34,2.5026275018837243,1.7391705471046417,0.30069776386904834
200,57,1.6248311061503857,0.6721847645971257,0.9109986806772662,0.013762536948669838,1.1548036504514645,32,2.9669215860477647,1.9599410656552712,0.2757791987408145
204,53,2.0031365978425213,0.9085591221590565,1.236177766408789,0.02119941287485589,0.5541916863660702,29,2.90024038128323,1.6219399522415918,0.4614896208729174
208,53,1.9474728602358178,0.8722842229417312,1.184757712563539,0.020464994042443622,0.7664202165655883,31,2.926456671672118,1.688254712150094,0.44324417325398213
212,53,1.8173659308991268,0.7843430027423508,1.0609556453425766,0.018520276627003847,0.7664202165655883,31,2.780176666590686,1.624471870664785,0.45331375265983953
216,53,1.7731863937203762,0.7539115118444895,1.0185629798915086,0.01777515108585239,0.7664202165655883,31,2.7312521099725116,1.6127158726254343,0.45082446970490353
220,51,1.9055054235052973,0.8174421576350516,1.1037276420394257,0.019775180186683144,1.0948158634545855,30,3.306686983232369,1.8097214484920148,0.4113199762316907
224,51,1.8053492468307344,0.7463964984289653,1.0062750348788754,0.018179371858627766,1.2594795286470888,31,3.0873902671970854,1.7325933192964527,0.42937624807734975
228,51,1.725561026730696,0.6894079308819359,0.9292029428804693,0.016870528761781856,1.2594795286470888,31,2.968313835910235,1.6760888440970054,0.4458230197633552
232,51,1.6811372052749531,0.6611659757848346,0.8911719967026893,0.016121259372583747,1.2594795286470888,31,2.8886861297494097,1.662247548933341,0.44084920720263615
236,51,1.648673175310142,0.6377220395415724,0.8597257680750303,0.015587247510471117,0.8396061980091631,32,2.518186769869895,1.508061025844848,0.48071114489982886
240,51,1.615649795085249,0.6081243255380231,0.8200870208932419,0.0149114589523894,0.8396061980091631,32,2.4822876347774505,1.4895124286757553,0.48777120873287383
244,49,1.716436945527217,0.6606982879320564,0.891203853589124,0.016711711350859082,0.6920425689461056,31,2.566712996052908,1.5133123001414186,0.48417866088434364
248,49,1.6357401274767944,0.5969640342588945,0.8045942968079505,0.015252007967553946,0.6920425689461056,31,2.4813713340760493,1.469029033870441,0.4965587701998763
252,48,1.7207863118357651,0.6441473388760646,0.8706073547826566,0.016494619277381998,0.7792529384730372,30,2.4725416117229764,1.453158742458223,0.5018775587607474
256,48,1.6716296789914311,0.6117596199576643,0.826700582978217,0.015755665176655696,-0.1097220781166189,32,2.072692447401493,1.2363730103005475,0.5804741667384015
260,48,1.5841625378396875,0.5537341161946877,0.7485635159516234,0.014383990178957197,-0.1097220781166189,32,1.9609086880791113,1.159569677951224,0.6170094004777974
264,48,1.5249611886554164,0.5081904315337311,0.6871048881702699,0.013351913487001708,-0.1097220781166189,32,1.8975398445197473,1.1093948469523824,0.6430991991859054
268,46,1.5700728372067543,0.5333569038500904,0.7210873163867643,0.014621825659949917,0.04296836147128889,30,2.054163525421434,1.2117551123187589,0.5938482461372693
272,46,1.505902661293636,0.48381533238472774,0.6536523257840287,0.013347547993247121,0.04296836147128889,30,1.9466423623050693,1.1310898925116657,0.6370224943747713
276,46,1.3938906758349254,0.39069737822013667,0.5268742843561528,0.011128928052039683,0.2663429164008638,31,1.745682037719701,0.9785785840565587,0.7310755519752492
280,46,1.3726819157783023,0.37198509983848366,0.501187886729034,0.010661435528493982,0.2663429164008638,31,1.7126065601587166,0.9507134556540214,0.7525232939441827
284,46,1.3263667457225048,0.3264271848158135,0.4407215879959936,0.009551722627820097,0.2663429164008638,31,1.6597361347317563,0.8954375248464401,0.7968916526744523
288,46,1.2642361286110446,0.2548321490078253,0.34384996164601084,0.007897606106233726,0.2663429164008638,31,1.6410283287398013,0.8786315981661895,0.8109038376964657
292,46,1.2467757643092792,0.23734734317642106,0.32087938628985807,0.007476683817341222,0.2663429164008638,31,1.6122086912133553,0.8519430102638836,0.8344755378057743
296,44,1.3526258873981991,0.35268369262022864,0.4775640619553527,0.010491502840629115,0.417713332906594,29,1.6639289779317534,0.8917396844510055,0.7990117351588074
300,44,1.2853431517891976,0.29045657689453946,0.39290973205881474,0.008879642984226045,0.417713332906594,29,1.5744149740151097,0.8051237360345137,0.8803381913890203
304,44,1.2453432343893465,0.24907056039213102,0.33693238536718667,0.007762188313221399,0.417713332906594,29,1.5234201427843317,0.750863596943446,0.9455161155360873
308,44,1.1744823344946889,0.16773549499057885,0.22588433381091452,0.005676887648846463,1.3793246506837065,30,1.5070094365520814,0.7347783153106178,0.9650158052888813
312,44,1.1510200704679425,0.13868934550905304,0.18654191043401008,0.004973941521675382,1.3793246506837065,30,1.4807288256213895,0.7043407159372321,1.0066795660865187
316,44,1.1052419937743334,0.08457224124348924,0.11374865820604031,0.00360914881942457,1.3793246506837065,30,1.4114873383165092,0.6273713445420506,1.1213083095841543
320,44,1.0747444489913274,0.04563083580220845,0.06137823991538034,0.0026288670635977326,1.3793246506837065,30,1.3818665478367929,0.592535879911482,1.1829299255365247
324,44,1.042730844124545,0.0034573960487807144,0.004650504493322047,0.0015415093740943958,0.9873502228396158,31,1.3066777611035885,0.49756824105409037,1.4007539190699552
328,44,1.0144868897048596,-0.0352960310288036,-0.04747329670602617,0.0005371624337091697,0.9873502228396158,31,1.2769193752477388,0.45770067790383745,1.5159530954302953
332,44,0.951337128515596,-0.12763385419546233,-0.17151775932397542,-0.0018781039330642115,0.9873502228396158,31,1.224922625061928,0.38300513616165394,1.7983030337761825
336,42,0.9988950501843935,-0.04977174100317594,-0.06689095743562838,-4.3865174192261216e-05,1.1186036401053328,29,1.331786020297641,0.5363175253292901,1.275137187034751
340,42,0.9905370200245441,-0.06307697063907976,-0.08478935384689787,-0.0003776868489544161,1.1186036401053328,29,1.324081772119937,0.526014878242832,1.2995541607716052
344,42,0.9845775034701884,-0.07050299405536396,-0.09478216299112023,-0.000617172262828142,1.1186036401053328,29,1.3189224820061087,0.5200684165728304,1.3078229024070973
348,42,0.9680758525464003,-0.09382933406254731,-0.12608311654358031,-0.001288716843052064,1.1186036401053328,29,1.303031067611289,0.4995589285015495,1.3508314893286641
352,42,0.9488159942278382,-0.11808726078253826,-0.15865799833217606,-0.002081918371886844,1.1186036401053328,29,1.2856775000212968,0.4794261994992955,1.3782344207078923
356,42,0.9182781645190308,-0.16826792390693013,-0.2258344750078372,-0.0033907842320058126,0.7148343868267466,30,1.1670015875283208,0.30108873390905866,2.1714041695315207
360,42,0.9078130626173803,-0.18484600205229543,-0.24808817131056984,-0.0038566510196578565,0.31014139240749156,31,1.0621739785258153,0.12095102598631105,5.326945136814876
364,42,0.8778840018332305,-0.2321906159475939,-0.3115983222732312,-0.005226859765598819,0.31014139240749156,31,1.0191213618733663,0.038640798897186295,16.35270987285189
368,42,0.8693991110064286,-0.24761837577006995,-0.3319767197626469,-0.005644589463163718,0.31014139240749156,31,1.0059399679736103,0.012141721878020277,51.96017531856009
372,42,0.8658124058802854,-0.25419158250594076,-0.3407802350965843,-0.005823632772569019,0.31014139240749156,31,1.000394102873756,0.000809374445141649,778.8326840403273
376,42,0.8580182654236219,-0.26835338120649105,-0.359700329531634,-0.006190805406537085,0.31014139240749156,31,0.9915522521002084,-0.017442869427331725,-36.12124739265754
380,42,0.8041928747676316,-0.37646788188848634,-0.5028967636148917,-0.008972879492253994,0.31014139240749156,31,0.9574339483175279,-0.08991964378565494,-7.0437673731334485
384,42,0.8028877615007168,-0.38131283903411123,-0.5098720337679067,-0.009047369275454274,0.31014139240749156,31,0.95622344239437,-0.09256774223473482,-6.840334331103404
